__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717494496.813274,,735.000000000,,,
1717494496.816849,0.423911095,,,,
1717494496.816878,,,-0.893440664,,
1717494496.827204,,,,,0.592611134
1717494496.837276,,,,8.295000076,
1717494496.847363,,674.000000000,,,
1717494496.849452,0.423910111,,,,
1717494496.849479,,,-1.119157314,,
1717494496.861249,,,,,0.601888895
1717494496.871319,,,,8.418000221,
1717494496.881267,,740.000000000,,,
1717494496.882671,0.423884779,,,,
1717494496.882700,,,-1.271810055,,
1717494496.895232,,,,,0.611111104
1717494496.905283,,,,8.602999687,
1717494496.915274,,750.000000000,,,
1717494496.917423,0.423932701,,,,
1717494496.917445,,,-1.431427479,,
1717494496.929214,,,,,0.621388912
1717494496.938271,,,,8.800999641,
1717494496.947288,0.423919290,,,,
1717494496.947317,,750.000000000,,,
1717494496.947328,,,-1.513816118,,
1717494496.961269,,,,,0.631666660
1717494496.971293,,,,8.838999748,
1717494496.981246,,656.000000000,,,
1717494496.985327,0.423845977,,,,
1717494496.985362,,,-1.532221556,,
1717494496.991209,,,,,0.641166687
1717494497.000347,,,,8.876999855,
1717494497.011289,,606.000000000,,,
1717494497.018547,0.423798501,,,,
1717494497.018597,,,-1.512125731,,
1717494497.021256,,,,,0.650500000
1717494497.035297,,,,8.661999702,
1717494497.045305,,789.000000000,,,
1717494497.049279,0.423740566,,,,
1717494497.049321,,,-1.428452849,,
1717494497.055254,,,,,0.661111116
1717494497.064228,,,,8.925999641,
1717494497.074292,,758.000000000,,,
1717494497.080568,0.423700780,,,,
1717494497.080598,,,-1.314527035,,
1717494497.084229,,,,,0.670611084
1717494497.097258,,,,9.121000290,
1717494497.107302,,721.000000000,,,
1717494497.117322,,,,,0.681722224
1717494497.120657,0.423638970,,,,
1717494497.120691,,,-1.078897595,,
1717494497.132344,,,,9.229000092,
1717494497.142394,,615.000000000,,,
1717494497.148916,0.423579186,,,,
1717494497.149002,,,-0.780964136,,
1717494497.152258,,,,,0.693833351
1717494497.166342,,,,9.022999763,
1717494497.176275,,720.000000000,,,
1717494497.181157,0.423542798,,,,
1717494497.181204,,,-0.421335191,,
1717494497.186235,,,,,0.705277801
1717494497.195202,,,,9.085000038,
1717494497.205313,,720.000000000,,,
1717494497.215276,,,,,0.714666665
1717494497.217782,0.423503369,,,,
1717494497.217807,,,-0.025370039,,
1717494497.231279,,,,9.043000221,
1717494497.241289,,610.000000000,,,
1717494497.247240,0.423434466,,,,
1717494497.247267,,,0.431740940,,
1717494497.251252,,,,,0.725499988
1717494497.264285,,,,8.809000015,
1717494497.274286,,752.000000000,,,
1717494497.283737,0.423405617,,,,
1717494497.283771,,,0.848037124,,
1717494497.284282,,,,,0.735111117
1717494497.300378,,,,8.977000237,
1717494497.310268,,757.000000000,,,
1717494497.318312,0.423405468,,,,
1717494497.318345,,,1.236456990,,
1717494497.320260,,,,,0.745722234
1717494497.335325,,,,9.147999763,
1717494497.345355,,732.000000000,,,
1717494497.352396,0.423331916,,,,
1717494497.352430,,,1.596780419,,
1717494497.355269,,,,,0.756222248
1717494497.369347,,,,9.357999802,
1717494497.379292,,651.000000000,,,
1717494497.384758,0.423338681,,,,
1717494497.384793,,,1.916961789,,
1717494497.389258,,,,,0.766222239
1717494497.398328,,,,9.135000229,
1717494497.408360,,727.000000000,,,
1717494497.418316,,,,,0.774666667
1717494497.419523,0.423338294,,,,
1717494497.419537,,,2.204566240,,
1717494497.433329,,,,8.965999603,
1717494497.443299,,782.000000000,,,
1717494497.453323,,,,,0.785055578
1717494497.453376,0.423364073,,,,
1717494497.453384,,,2.355204582,,
1717494497.469366,,,,9.064000130,
1717494497.478307,,679.000000000,,,
1717494497.484406,0.423405647,,,,
1717494497.484430,,,2.428714514,,
1717494497.488289,,,,,0.795833349
1717494497.501387,,,,9.168000221,
1717494497.510285,,0.000000000,,,
1717494497.520098,0.423387468,,,,
1717494497.520149,,,2.412672281,,
1717494497.520302,,,,,0.805166662
1717494497.535350,,,,8.229999542,
1717494497.545287,,0.000000000,,,
1717494497.554251,0.423433006,,,,
1717494497.554327,,,2.307165384,,
1717494497.555273,,,,,0.813166678
1717494497.571340,,,,7.291999817,
1717494497.581286,,0.000000000,,,
1717494497.586123,0.423434854,,,,
1717494497.586146,,,2.087869883,,
1717494497.591274,,,,,0.818444431
1717494497.600344,,,,6.534999847,
1717494497.610313,,0.000000000,,,
1717494497.620301,,,,,0.820888877
1717494497.622413,0.423433334,,,,
1717494497.622448,,,1.716857076,,
1717494497.637360,,,,5.533999920,
1717494497.649316,,0.000000000,,,
1717494497.651765,0.423535317,,,,
1717494497.651854,,,1.208008885,,
1717494497.664367,,,,,0.821833313
1717494497.675390,,,,4.531000137,
1717494497.686044,0.423698962,,,,
1717494497.686076,,,0.536873043,,
1717494497.686277,,0.000000000,,,
1717494497.700392,,,,,0.821777761
1717494497.711346,,,,3.565999985,
1717494497.719448,0.423781842,,,,
1717494497.719477,,,-0.282945514,,
1717494497.726314,,0.000000000,,,
1717494497.737337,,,,,0.821777761
1717494497.749457,,,,2.736000061,
1717494497.751477,0.423947424,,,,
1717494497.751504,,,-1.249451637,,
1717494497.763352,,0.000000000,,,
1717494497.774383,,,,,0.821777761
1717494497.784380,,,,1.906000018,
1717494497.785604,0.424020171,,,,
1717494497.785627,,,-2.285458088,,
1717494497.797325,,0.000000000,,,
1717494497.807436,,,,,0.821777761
1717494497.818374,,,,0.867999971,
1717494497.819093,0.424143046,,,,
1717494497.819112,,,-3.377223492,,
1717494497.835420,,0.000000000,,,
1717494497.845357,,,,,0.821777761
1717494497.851945,0.424235314,,,,
1717494497.851977,,,-4.511683464,,
1717494497.855309,,,,0.000000000,
1717494497.870409,,0.000000000,,,
