__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717493138.017042,,,,9.326000214,
1717493138.027059,,772.000000000,,,
1717493138.030940,0.374066889,,,,
1717493138.030967,,,-0.510730207,,
1717493138.036996,,,,,0.317666680
1717493138.046980,,,,9.381999969,
1717493138.057034,,772.000000000,,,
1717493138.064075,0.374047071,,,,
1717493138.064123,,,-0.450439572,,
1717493138.066943,,,,,0.325333327
1717493138.081005,,,,9.277000427,
1717493138.091067,,691.000000000,,,
1717493138.099180,0.374046594,,,,
1717493138.099213,,,-0.364532173,,
1717493138.100999,,,,,0.334111124
1717493138.116044,,,,9.263999939,
1717493138.126047,,766.000000000,,,
1717493138.135101,0.374031872,,,,
1717493138.135149,,,-0.270348907,,
1717493138.136001,,,,,0.343222231
1717493138.152083,,,,9.380000114,
1717493138.162074,,609.000000000,,,
1717493138.168234,0.373997927,,,,
1717493138.168272,,,-0.167696357,,
1717493138.172030,,,,,0.352333337
1717493138.182012,,,,9.388999939,
1717493138.192099,,738.000000000,,,
1717493138.200197,0.373964608,,,,
1717493138.200237,,,-0.048209384,,
1717493138.202022,,,,,0.359777778
1717493138.217066,,,,9.538000107,
1717493138.227042,,756.000000000,,,
1717493138.235766,0.373936236,,,,
1717493138.235797,,,0.079646982,,
1717493138.237024,,,,,0.368999988
1717493138.253089,,,,9.623999596,
1717493138.263128,,749.000000000,,,
1717493138.268656,0.373895228,,,,
1717493138.268707,,,0.232825652,,
1717493138.273047,,,,,0.379166663
1717493138.286146,,,,9.758000374,
1717493138.296057,,618.000000000,,,
1717493138.301953,0.373854250,,,,
1717493138.301994,,,0.385402411,,
1717493138.305991,,,,,0.388222218
1717493138.319101,,,,9.618000031,
1717493138.329062,,640.000000000,,,
1717493138.330276,0.373839140,,,,
1717493138.330293,,,0.563393712,,
1717493138.344076,,,,,0.397388875
1717493138.354110,,,,9.449000359,
1717493138.364058,,640.000000000,,,
1717493138.366139,0.373867512,,,,
1717493138.366183,,,0.732434392,,
1717493138.379093,,,,,0.405166656
1717493138.389107,,,,9.281000137,
1717493138.399122,,622.000000000,,,
1717493138.403749,0.373792619,,,,
1717493138.403782,,,0.874755204,,
1717493138.409038,,,,,0.411444455
1717493138.419095,,,,9.095000267,
1717493138.429063,,682.000000000,,,
1717493138.431540,0.373743147,,,,
1717493138.431567,,,0.990964472,,
1717493138.443076,,,,,0.418111116
1717493138.453156,,,,8.968000412,
1717493138.463078,,682.000000000,,,
1717493138.465684,0.373689175,,,,
1717493138.465709,,,1.080885530,,
1717493138.477108,,,,,0.424499989
1717493138.487165,,,,8.892000198,
1717493138.497136,,694.000000000,,,
1717493138.500813,0.373699725,,,,
1717493138.500852,,,1.077779055,,
1717493138.507033,,,,,0.430388898
1717493138.516139,,,,8.798999786,
1717493138.526114,,700.000000000,,,
1717493138.532581,0.373623639,,,,
1717493138.532620,,,1.037736177,,
1717493138.537091,,,,,0.436277777
1717493138.547106,,,,8.720999718,
1717493138.557151,,684.000000000,,,
1717493138.565775,0.373658121,,,,
1717493138.565818,,,0.905400872,,
1717493138.567081,,,,,0.442944437
1717493138.582135,,,,8.715000153,
1717493138.591157,,782.000000000,,,
1717493138.600368,0.373626530,,,,
1717493138.600410,,,0.747477233,,
1717493138.601073,,,,,0.450777769
1717493138.617133,,,,8.817000389,
1717493138.627137,,700.000000000,,,
1717493138.630878,0.373602778,,,,
1717493138.630916,,,0.547304094,,
1717493138.637072,,,,,0.460166663
1717493138.647085,,,,8.741999626,
1717493138.657165,,703.000000000,,,
1717493138.666605,0.373629779,,,,
1717493138.666634,,,0.322127163,,
1717493138.667086,,,,,0.468111098
1717493138.683144,,,,8.840000153,
1717493138.693166,,618.000000000,,,
1717493138.700090,0.373698652,,,,
1717493138.700129,,,0.097859994,,
1717493138.703095,,,,,0.477611125
1717493138.717139,,,,8.708000183,
1717493138.727195,,709.000000000,,,
1717493138.731643,0.373746365,,,,
1717493138.731672,,,-0.134416074,,
1717493138.738112,,,,,0.486388892
1717493138.748151,,,,8.652000427,
1717493138.758160,,709.000000000,,,
1717493138.767325,0.373787045,,,,
1717493138.767362,,,-0.366066366,,
1717493138.768089,,,,,0.494722217
1717493138.784130,,,,8.581999779,
1717493138.795182,,684.000000000,,,
1717493138.797297,0.373815089,,,,
1717493138.797314,,,-0.579837561,,
1717493138.809156,,,,,0.506222248
1717493138.819206,,,,8.760000229,
1717493138.829153,,786.000000000,,,
1717493138.831225,0.373827428,,,,
1717493138.831254,,,-0.801697850,,
1717493138.843158,,,,,0.516499996
1717493138.853213,,,,8.913000107,
1717493138.863207,,665.000000000,,,
1717493138.866125,0.373821110,,,,
1717493138.866144,,,-0.988829076,,
1717493138.878159,,,,,0.527111113
1717493138.887214,,,,8.930999756,
1717493138.897156,,679.000000000,,,
1717493138.900828,0.373878986,,,,
1717493138.900852,,,-1.123829246,,
1717493138.907156,,,,,0.536333323
1717493138.917167,,,,8.987000465,
1717493138.927198,,721.000000000,,,
1717493138.932651,0.373938531,,,,
1717493138.932681,,,-1.214224339,,
1717493138.937148,,,,,0.545611084
1717493138.946133,,,,9.043999672,
1717493138.956200,,779.000000000,,,
1717493138.966205,,,,,0.554277778
1717493138.967582,0.374017298,,,,
1717493138.967623,,,-1.220302105,,
1717493138.981162,,,,9.204000473,
1717493138.991217,,667.000000000,,,
1717493139.001203,,,,,0.565277755
1717493139.001936,0.374023706,,,,
1717493139.001978,,,-1.125199437,,
1717493139.018159,,,,9.364999771,
1717493139.027280,,790.000000000,,,
1717493139.031855,0.374110520,,,,
1717493139.031889,,,-0.969266653,,
1717493139.037185,,,,,0.577055573
1717493139.047176,,,,9.454000473,
1717493139.057231,,790.000000000,,,
1717493139.066453,0.374067038,,,,
1717493139.066489,,,-0.745952189,,
1717493139.067101,,,,,0.587166667
1717493139.083237,,,,9.560000420,
1717493139.093256,,723.000000000,,,
1717493139.099540,0.374085218,,,,
1717493139.099569,,,-0.463944405,,
1717493139.103150,,,,,0.599388897
1717493139.116118,,,,9.557000160,
1717493139.126196,,643.000000000,,,
1717493139.135242,0.374131888,,,,
1717493139.135276,,,-0.140258864,,
1717493139.136217,,,,,0.610000014
1717493139.152248,,,,9.517000198,
1717493139.162222,,666.000000000,,,
1717493139.167961,0.374140531,,,,
1717493139.167992,,,0.207573295,,
1717493139.172230,,,,,0.620944440
1717493139.185257,,,,9.473999977,
1717493139.196292,,744.000000000,,,
1717493139.201324,0.374096572,,,,
1717493139.201356,,,0.553948224,,
1717493139.206224,,,,,0.630944431
1717493139.215251,,,,9.612999916,
1717493139.225226,,730.000000000,,,
1717493139.233703,0.374088883,,,,
1717493139.233744,,,0.899300218,,
1717493139.235187,,,,,0.639500022
1717493139.251229,,,,9.630000114,
1717493139.261299,,732.000000000,,,
1717493139.267586,0.374080122,,,,
1717493139.267617,,,1.226322889,,
1717493139.273193,,,,,0.650944471
1717493139.282234,,,,9.678000450,
1717493139.292272,,794.000000000,,,
1717493139.300875,0.374095649,,,,
1717493139.300908,,,1.509618521,,
1717493139.302213,,,,,0.660111129
1717493139.318254,,,,9.685000420,
1717493139.328256,,756.000000000,,,
1717493139.333170,0.374115080,,,,
1717493139.333212,,,1.766312480,,
1717493139.338316,,,,,0.672222197
1717493139.348275,,,,9.649000168,
1717493139.358305,,608.000000000,,,
1717493139.366459,0.374106079,,,,
1717493139.366505,,,1.996429443,,
1717493139.368254,,,,,0.682444453
1717493139.383378,,,,9.585000038,
1717493139.393300,,780.000000000,,,
1717493139.401199,0.374107301,,,,
1717493139.401238,,,2.174839973,,
1717493139.403188,,,,,0.693833351
1717493139.418264,,,,9.501000404,
1717493139.428256,,780.000000000,,,
1717493139.433235,0.374116242,,,,
1717493139.433276,,,2.282861233,,
1717493139.438287,,,,,0.705277801
1717493139.448238,,,,9.416999817,
1717493139.458260,,699.000000000,,,
1717493139.466245,0.374122590,,,,
1717493139.466275,,,2.315227270,,
